zip,year,bank,tractrat,income,bocreditscore,ltv,amount,rate,zipcode,city,state,metro,countyname,avghomevalue2016,avghomevalue2018
36081,2018,Boston,0.9847,148997,5,0.76,340000,0.0413,36081,Troy,AL,Troy,Pike County,105579,114244
36010,2018,Boston,1.1965,70992,4,0.72,227100,0.04,36010,Brundidge,AL,Troy,Pike County,79930,76607
36035,2018,Boston,1.1965,70992,4,0.72,227100,0.04,36035,Goshen,AL,Troy,Pike County,96017,99273
36034,2018,Boston,1.1965,70992,4,0.72,227100,0.04,36034,Goshen,AL,Troy,Pike County,76353,80569
36005,2018,Boston,1.1965,70992,4,0.72,227100,0.04,36005,Louisville,AL,Eufaula,Barbour County,99358,96394
36079,2018,Boston,1.1965,70992,4,0.72,227100,0.04,36079,Troy,AL,Troy,Pike County,139489,150101
36081,2018,Boston,1.1965,70992,4,0.72,227100,0.04,36081,Troy,AL,Troy,Pike County,105579,114244
36010,2018,Boston,1.459,71052,4,0.9,211500,0.0475,36010,Brundidge,AL,Troy,Pike County,79930,76607
36035,2018,Boston,1.459,71052,4,0.9,211500,0.0475,36035,Goshen,AL,Troy,Pike County,96017,99273
36034,2018,Boston,1.459,71052,4,0.9,211500,0.0475,36034,Goshen,AL,Troy,Pike County,76353,80569
36005,2018,Boston,1.459,71052,4,0.9,211500,0.0475,36005,Louisville,AL,Eufaula,Barbour County,99358,96394
36079,2018,Boston,1.459,71052,4,0.9,211500,0.0475,36079,Troy,AL,Troy,Pike County,139489,150101
36081,2018,Boston,1.459,71052,4,0.9,211500,0.0475,36081,Troy,AL,Troy,Pike County,105579,114244
36010,2018,Boston,1.0311,280992,5,0.74,280000,0.0375,36010,Brundidge,AL,Troy,Pike County,79930,76607
36035,2018,Boston,1.0311,280992,5,0.74,280000,0.0375,36035,Goshen,AL,Troy,Pike County,96017,99273
36034,2018,Boston,1.0311,280992,5,0.74,280000,0.0375,36034,Goshen,AL,Troy,Pike County,76353,80569
36005,2018,Boston,1.0311,280992,5,0.74,280000,0.0375,36005,Louisville,AL,Eufaula,Barbour County,99358,96394
36079,2018,Boston,1.0311,280992,5,0.74,280000,0.0375,36079,Troy,AL,Troy,Pike County,139489,150101
36081,2018,Boston,1.0311,280992,5,0.74,280000,0.0375,36081,Troy,AL,Troy,Pike County,105579,114244
36010,2018,Boston,1.483,158184,4,0.8,254400,0.0463,36010,Brundidge,AL,Troy,Pike County,79930,76607
36035,2018,Boston,1.483,158184,4,0.8,254400,0.0463,36035,Goshen,AL,Troy,Pike County,96017,99273
36034,2018,Boston,1.483,158184,4,0.8,254400,0.0463,36034,Goshen,AL,Troy,Pike County,76353,80569
36005,2018,Boston,1.483,158184,4,0.8,254400,0.0463,36005,Louisville,AL,Eufaula,Barbour County,99358,96394
36079,2018,Boston,1.483,158184,4,0.8,254400,0.0463,36079,Troy,AL,Troy,Pike County,139489,150101
36081,2018,Boston,1.483,158184,4,0.8,254400,0.0463,36081,Troy,AL,Troy,Pike County,105579,114244
36010,2018,Cincinnati,1.3945,80604,4,0.79,306000,0.0513,36010,Brundidge,AL,Troy,Pike County,79930,76607
36035,2018,Cincinnati,1.3945,80604,4,0.79,306000,0.0513,36035,Goshen,AL,Troy,Pike County,96017,99273
36034,2018,Cincinnati,1.3945,80604,4,0.79,306000,0.0513,36034,Goshen,AL,Troy,Pike County,76353,80569
36005,2018,Cincinnati,1.3945,80604,4,0.79,306000,0.0513,36005,Louisville,AL,Eufaula,Barbour County,99358,96394
36079,2018,Cincinnati,1.3945,80604,4,0.79,306000,0.0513,36079,Troy,AL,Troy,Pike County,139489,150101
36081,2018,Cincinnati,1.3945,80604,4,0.79,306000,0.0513,36081,Troy,AL,Troy,Pike County,105579,114244
36010,2018,Boston,1.0866,100788,5,0.95,161500,0.0488,36010,Brundidge,AL,Troy,Pike County,79930,76607
36035,2018,Boston,1.0866,100788,5,0.95,161500,0.0488,36035,Goshen,AL,Troy,Pike County,96017,99273
36034,2018,Boston,1.0866,100788,5,0.95,161500,0.0488,36034,Goshen,AL,Troy,Pike County,76353,80569
36005,2018,Boston,1.0866,100788,5,0.95,161500,0.0488,36005,Louisville,AL,Eufaula,Barbour County,99358,96394
36079,2018,Boston,1.0866,100788,5,0.95,161500,0.0488,36079,Troy,AL,Troy,Pike County,139489,150101
36081,2018,Boston,1.0866,100788,5,0.95,161500,0.0488,36081,Troy,AL,Troy,Pike County,105579,114244
36010,2018,Boston,1.459,185256,5,0.8,316000,0.0463,36010,Brundidge,AL,Troy,Pike County,79930,76607
36035,2018,Boston,1.459,185256,5,0.8,316000,0.0463,36035,Goshen,AL,Troy,Pike County,96017,99273
36034,2018,Boston,1.459,185256,5,0.8,316000,0.0463,36034,Goshen,AL,Troy,Pike County,76353,80569
36005,2018,Boston,1.459,185256,5,0.8,316000,0.0463,36005,Louisville,AL,Eufaula,Barbour County,99358,96394
36079,2018,Boston,1.459,185256,5,0.8,316000,0.0463,36079,Troy,AL,Troy,Pike County,139489,150101
36081,2018,Boston,1.459,185256,5,0.8,316000,0.0463,36081,Troy,AL,Troy,Pike County,105579,114244
36010,2018,Boston,1.459,150312,4,0.8,271200,0.0438,36010,Brundidge,AL,Troy,Pike County,79930,76607
36035,2018,Boston,1.459,150312,4,0.8,271200,0.0438,36035,Goshen,AL,Troy,Pike County,96017,99273
36034,2018,Boston,1.459,150312,4,0.8,271200,0.0438,36034,Goshen,AL,Troy,Pike County,76353,80569
36005,2018,Boston,1.459,150312,4,0.8,271200,0.0438,36005,Louisville,AL,Eufaula,Barbour County,99358,96394
36079,2018,Boston,1.459,150312,4,0.8,271200,0.0438,36079,Troy,AL,Troy,Pike County,139489,150101
36081,2018,Boston,1.459,150312,4,0.8,271200,0.0438,36081,Troy,AL,Troy,Pike County,105579,114244
36010,2018,Boston,1.2008,70941,4,0.8,101600,0.0488,36010,Brundidge,AL,Troy,Pike County,79930,76607
36035,2018,Boston,1.2008,70941,4,0.8,101600,0.0488,36035,Goshen,AL,Troy,Pike County,96017,99273
36034,2018,Boston,1.2008,70941,4,0.8,101600,0.0488,36034,Goshen,AL,Troy,Pike County,76353,80569
36005,2018,Boston,1.2008,70941,4,0.8,101600,0.0488,36005,Louisville,AL,Eufaula,Barbour County,99358,96394
36079,2018,Boston,1.2008,70941,4,0.8,101600,0.0488,36079,Troy,AL,Troy,Pike County,139489,150101
36081,2018,Boston,1.2008,70941,4,0.8,101600,0.0488,36081,Troy,AL,Troy,Pike County,105579,114244
36010,2018,Boston,1.4843,109392,5,0.55,180000,0.0463,36010,Brundidge,AL,Troy,Pike County,79930,76607
36035,2018,Boston,1.4843,109392,5,0.55,180000,0.0463,36035,Goshen,AL,Troy,Pike County,96017,99273
36034,2018,Boston,1.4843,109392,5,0.55,180000,0.0463,36034,Goshen,AL,Troy,Pike County,76353,80569
36005,2018,Boston,1.4843,109392,5,0.55,180000,0.0463,36005,Louisville,AL,Eufaula,Barbour County,99358,96394
36079,2018,Boston,1.4843,109392,5,0.55,180000,0.0463,36079,Troy,AL,Troy,Pike County,139489,150101
36081,2018,Boston,1.4843,109392,5,0.55,180000,0.0463,36081,Troy,AL,Troy,Pike County,105579,114244
36010,2018,Boston,1.0311,89472,5,0.8,240000,0.0425,36010,Brundidge,AL,Troy,Pike County,79930,76607
36035,2018,Boston,1.0311,89472,5,0.8,240000,0.0425,36035,Goshen,AL,Troy,Pike County,96017,99273
36034,2018,Boston,1.0311,89472,5,0.8,240000,0.0425,36034,Goshen,AL,Troy,Pike County,76353,80569
36005,2018,Boston,1.0311,89472,5,0.8,240000,0.0425,36005,Louisville,AL,Eufaula,Barbour County,99358,96394
36079,2018,Boston,1.0311,89472,5,0.8,240000,0.0425,36079,Troy,AL,Troy,Pike County,139489,150101
36081,2018,Boston,1.0311,89472,5,0.8,240000,0.0425,36081,Troy,AL,Troy,Pike County,105579,114244
36010,2018,Boston,1.483,162528,5,0.8,304000,0.0438,36010,Brundidge,AL,Troy,Pike County,79930,76607
36035,2018,Boston,1.483,162528,5,0.8,304000,0.0438,36035,Goshen,AL,Troy,Pike County,96017,99273
36034,2018,Boston,1.483,162528,5,0.8,304000,0.0438,36034,Goshen,AL,Troy,Pike County,76353,80569
36005,2018,Boston,1.483,162528,5,0.8,304000,0.0438,36005,Louisville,AL,Eufaula,Barbour County,99358,96394
36079,2018,Boston,1.483,162528,5,0.8,304000,0.0438,36079,Troy,AL,Troy,Pike County,139489,150101
36081,2018,Boston,1.483,162528,5,0.8,304000,0.0438,36081,Troy,AL,Troy,Pike County,105579,114244
36010,2018,Boston,1.3929,115833,4,0.76,285000,0.0425,36010,Brundidge,AL,Troy,Pike County,79930,76607
36035,2018,Boston,1.3929,115833,4,0.76,285000,0.0425,36035,Goshen,AL,Troy,Pike County,96017,99273
36034,2018,Boston,1.3929,115833,4,0.76,285000,0.0425,36034,Goshen,AL,Troy,Pike County,76353,80569
36005,2018,Boston,1.3929,115833,4,0.76,285000,0.0425,36005,Louisville,AL,Eufaula,Barbour County,99358,96394
36079,2018,Boston,1.3929,115833,4,0.76,285000,0.0425,36079,Troy,AL,Troy,Pike County,139489,150101
