,year,bank,tractrat,income,bocreditscore,ltv,amount,rate,zip,city
10448,2018,Topeka,0.8964,76068,5,0.8,132000,0.0513,39827,Cairo
10449,2018,Topeka,0.8964,76068,5,0.8,132000,0.0513,39828,Cairo
10450,2018,Topeka,0.8964,76068,5,0.8,132000,0.0513,39897,Whigham
10451,2018,Topeka,0.8964,74520,2,0.87,105000,0.0525,39827,Cairo
10452,2018,Topeka,0.8964,74520,2,0.87,105000,0.0525,39828,Cairo
10453,2018,Topeka,0.8964,74520,2,0.87,105000,0.0525,39897,Whigham
10454,2016,Topeka,1.2439,54392,4,1.0,147096,0.035,39827,Cairo
10455,2016,Topeka,1.2439,54392,4,1.0,147096,0.035,39828,Cairo
10456,2016,Topeka,1.2439,54392,4,1.0,147096,0.035,39897,Whigham
10457,2016,Topeka,0.977,87755,5,0.85,190000,0.0375,39827,Cairo
10458,2016,Topeka,0.977,87755,5,0.85,190000,0.0375,39828,Cairo
10459,2016,Topeka,0.977,87755,5,0.85,190000,0.0375,39897,Whigham
10460,2016,Topeka,0.977,55343,5,0.8,108000,0.035,39827,Cairo
10461,2016,Topeka,0.977,55343,5,0.8,108000,0.035,39828,Cairo
10462,2016,Topeka,0.977,55343,5,0.8,108000,0.035,39897,Whigham
10463,2016,Topeka,1.1198,164699,5,0.79,251000,0.0338,39827,Cairo
10464,2016,Topeka,1.1198,164699,5,0.79,251000,0.0338,39828,Cairo
10465,2016,Topeka,1.1198,164699,5,0.79,251000,0.0338,39897,Whigham
10466,2016,Topeka,0.977,104484,4,0.8,241600,0.0338,39827,Cairo
10467,2016,Topeka,0.977,104484,4,0.8,241600,0.0338,39828,Cairo
10468,2016,Topeka,0.977,104484,4,0.8,241600,0.0338,39897,Whigham
10469,2016,Topeka,1.1198,57756,4,0.9,58500,0.035,39827,Cairo
10470,2016,Topeka,1.1198,57756,4,0.9,58500,0.035,39828,Cairo
10471,2016,Topeka,1.1198,57756,4,0.9,58500,0.035,39897,Whigham
10472,2016,Topeka,1.2439,75555,5,0.8,272000,0.0313,39827,Cairo
10473,2016,Topeka,1.2439,75555,5,0.8,272000,0.0313,39828,Cairo
10474,2016,Topeka,1.2439,75555,5,0.8,272000,0.0313,39897,Whigham
10475,2016,Topeka,0.977,62424,3,1.0,85000,0.0375,39827,Cairo
10476,2016,Topeka,0.977,62424,3,1.0,85000,0.0375,39828,Cairo
10477,2016,Topeka,0.977,62424,3,1.0,85000,0.0375,39897,Whigham
10478,2016,Topeka,0.977,160910,5,0.82,194200,0.0338,39827,Cairo
10479,2016,Topeka,0.977,160910,5,0.82,194200,0.0338,39828,Cairo
10480,2016,Topeka,0.977,160910,5,0.82,194200,0.0338,39897,Whigham
10481,2016,Topeka,0.977,62566,5,0.95,156750,0.0363,39827,Cairo
10482,2016,Topeka,0.977,62566,5,0.95,156750,0.0363,39828,Cairo
10483,2016,Topeka,0.977,62566,5,0.95,156750,0.0363,39897,Whigham
10484,2016,Topeka,0.977,82592,4,0.95,83600,0.03,39827,Cairo
10485,2016,Topeka,0.977,82592,4,0.95,83600,0.03,39828,Cairo
10486,2016,Topeka,0.977,82592,4,0.95,83600,0.03,39897,Whigham
10487,2016,Topeka,0.977,74551,5,0.95,142500,0.0363,39827,Cairo
10488,2016,Topeka,0.977,74551,5,0.95,142500,0.0363,39828,Cairo
10489,2016,Topeka,0.977,74551,5,0.95,142500,0.0363,39897,Whigham
10490,2016,Topeka,0.977,73788,4,0.37,120000,0.03,39827,Cairo
10491,2016,Topeka,0.977,73788,4,0.37,120000,0.03,39828,Cairo
10492,2016,Topeka,0.977,73788,4,0.37,120000,0.03,39897,Whigham
10493,2016,Topeka,0.977,66950,5,0.58,75000,0.0338,39827,Cairo
10494,2016,Topeka,0.977,66950,5,0.58,75000,0.0338,39828,Cairo
10495,2016,Topeka,0.977,66950,5,0.58,75000,0.0338,39897,Whigham
10496,2016,Topeka,0.977,113744,5,0.76,298000,0.0338,39827,Cairo
10497,2016,Topeka,0.977,113744,5,0.76,298000,0.0338,39828,Cairo
10498,2016,Topeka,0.977,113744,5,0.76,298000,0.0338,39897,Whigham
10499,2016,Topeka,0.977,73236,5,0.61,140000,0.035,39827,Cairo
10500,2016,Topeka,0.977,73236,5,0.61,140000,0.035,39828,Cairo
10501,2016,Topeka,0.977,73236,5,0.61,140000,0.035,39897,Whigham
10502,2016,Topeka,0.9248,23104,2,0.94,59640,0.04,39827,Cairo
10503,2016,Topeka,0.9248,23104,2,0.94,59640,0.04,39828,Cairo
10504,2016,Topeka,0.9248,23104,2,0.94,59640,0.04,39897,Whigham
10505,2016,Topeka,0.977,152868,5,0.6,156000,0.0288,39827,Cairo
10506,2016,Topeka,0.977,152868,5,0.6,156000,0.0288,39828,Cairo
10507,2016,Topeka,0.977,152868,5,0.6,156000,0.0288,39897,Whigham
10508,2016,Topeka,0.977,32240,4,0.8,71200,0.0375,39827,Cairo
10509,2016,Topeka,0.977,32240,4,0.8,71200,0.0375,39828,Cairo
10510,2016,Topeka,0.977,32240,4,0.8,71200,0.0375,39897,Whigham
10511,2016,Topeka,1.1198,60774,4,0.71,205500,0.0363,39827,Cairo
10512,2016,Topeka,1.1198,60774,4,0.71,205500,0.0363,39828,Cairo
10513,2016,Topeka,1.1198,60774,4,0.71,205500,0.0363,39897,Whigham
10514,2016,Topeka,0.977,112000,5,0.8,92000,0.0363,39827,Cairo
10515,2016,Topeka,0.977,112000,5,0.8,92000,0.0363,39828,Cairo
10516,2016,Topeka,0.977,112000,5,0.8,92000,0.0363,39897,Whigham
10517,2016,Topeka,0.977,83428,4,0.95,134900,0.0338,39827,Cairo
10518,2016,Topeka,0.977,83428,4,0.95,134900,0.0338,39828,Cairo
10519,2016,Topeka,0.977,83428,4,0.95,134900,0.0338,39897,Whigham
10520,2016,Topeka,0.977,78758,4,0.63,93700,0.0288,39827,Cairo
10521,2016,Topeka,0.977,78758,4,0.63,93700,0.0288,39828,Cairo
10522,2016,Topeka,0.977,78758,4,0.63,93700,0.0288,39897,Whigham
10523,2016,Topeka,1.1957,86783,5,0.9,126000,0.03,39827,Cairo
10524,2016,Topeka,1.1957,86783,5,0.9,126000,0.03,39828,Cairo
10525,2016,Topeka,1.1957,86783,5,0.9,126000,0.03,39897,Whigham
10526,2016,Topeka,0.977,165110,5,0.77,286000,0.0338,39827,Cairo
10527,2016,Topeka,0.977,165110,5,0.77,286000,0.0338,39828,Cairo
10528,2016,Topeka,0.977,165110,5,0.77,286000,0.0338,39897,Whigham
10529,2016,Topeka,0.977,34944,4,1.01,63484,0.0363,39827,Cairo
10530,2016,Topeka,0.977,34944,4,1.01,63484,0.0363,39828,Cairo
10531,2016,Topeka,0.977,34944,4,1.01,63484,0.0363,39897,Whigham
10532,2016,Topeka,0.977,72862,5,0.74,190000,0.0338,39827,Cairo
10533,2016,Topeka,0.977,72862,5,0.74,190000,0.0338,39828,Cairo
10534,2016,Topeka,0.977,72862,5,0.74,190000,0.0338,39897,Whigham
10535,2016,Topeka,1.2439,57653,5,0.8,120000,0.04,39827,Cairo
10536,2016,Topeka,1.2439,57653,5,0.8,120000,0.04,39828,Cairo
10537,2016,Topeka,1.2439,57653,5,0.8,120000,0.04,39897,Whigham
10538,2016,Topeka,0.977,85300,5,0.95,142025,0.0413,39827,Cairo
10539,2016,Topeka,0.977,85300,5,0.95,142025,0.0413,39828,Cairo
10540,2016,Topeka,0.977,85300,5,0.95,142025,0.0413,39897,Whigham
10541,2016,Topeka,1.1957,62026,4,1.0,122082,0.04,39827,Cairo
10542,2016,Topeka,1.1957,62026,4,1.0,122082,0.04,39828,Cairo
10543,2016,Topeka,1.1957,62026,4,1.0,122082,0.04,39897,Whigham
10544,2016,Topeka,0.977,38505,5,0.95,80750,0.0388,39827,Cairo
10545,2016,Topeka,0.977,38505,5,0.95,80750,0.0388,39828,Cairo
10546,2016,Topeka,0.977,38505,5,0.95,80750,0.0388,39897,Whigham
10547,2016,Topeka,0.977,41911,2,1.04,119280,0.0413,39827,Cairo
10548,2016,Topeka,0.977,41911,2,1.04,119280,0.0413,39828,Cairo
10549,2016,Topeka,0.977,41911,2,1.04,119280,0.0413,39897,Whigham
10550,2016,Topeka,0.9248,37572,3,1.0,75000,0.0425,39827,Cairo
10551,2016,Topeka,0.9248,37572,3,1.0,75000,0.0425,39828,Cairo
10552,2016,Topeka,0.9248,37572,3,1.0,75000,0.0425,39897,Whigham
10553,2016,Topeka,1.1198,60450,3,1.0,112365,0.0375,39827,Cairo
10554,2016,Topeka,1.1198,60450,3,1.0,112365,0.0375,39828,Cairo
10555,2016,Topeka,1.1198,60450,3,1.0,112365,0.0375,39897,Whigham
10556,2016,Topeka,0.977,46301,5,0.8,101600,0.0338,39827,Cairo
10557,2016,Topeka,0.977,46301,5,0.8,101600,0.0338,39828,Cairo
10558,2016,Topeka,0.977,46301,5,0.8,101600,0.0338,39897,Whigham
10559,2016,Topeka,0.9248,37149,3,1.0,66838,0.0425,39827,Cairo
10560,2016,Topeka,0.9248,37149,3,1.0,66838,0.0425,39828,Cairo
10561,2016,Topeka,0.9248,37149,3,1.0,66838,0.0425,39897,Whigham
10562,2016,Topeka,1.1198,30585,5,0.74,87000,0.035,39827,Cairo
10563,2016,Topeka,1.1198,30585,5,0.74,87000,0.035,39828,Cairo
10564,2016,Topeka,1.1198,30585,5,0.74,87000,0.035,39897,Whigham
10565,2016,Topeka,0.977,113841,2,0.97,145809,0.0363,39827,Cairo
10566,2016,Topeka,0.977,113841,2,0.97,145809,0.0363,39828,Cairo
10567,2016,Topeka,0.977,113841,2,0.97,145809,0.0363,39897,Whigham
10568,2016,Topeka,1.1957,41278,5,0.53,72000,0.0388,39827,Cairo
10569,2016,Topeka,1.1957,41278,5,0.53,72000,0.0388,39828,Cairo
10570,2016,Topeka,1.1957,41278,5,0.53,72000,0.0388,39897,Whigham
10571,2016,Topeka,0.977,42043,5,0.95,104500,0.0413,39827,Cairo
10572,2016,Topeka,0.977,42043,5,0.95,104500,0.0413,39828,Cairo
10573,2016,Topeka,0.977,42043,5,0.95,104500,0.0413,39897,Whigham
10574,2016,Topeka,1.1957,77376,3,1.03,147606,0.04,39827,Cairo
10575,2016,Topeka,1.1957,77376,3,1.03,147606,0.04,39828,Cairo
10576,2016,Topeka,1.1957,77376,3,1.03,147606,0.04,39897,Whigham
10577,2016,Indianapolis,0.49,75012,5,0.48,274000,0.035,30563,Mount Airy
10578,2016,Indianapolis,0.49,75012,5,0.48,274000,0.035,30523,Clarkesville
10579,2016,Indianapolis,0.49,75012,5,0.48,274000,0.035,30531,Cornelia
10580,2016,Indianapolis,0.49,75012,5,0.48,274000,0.035,30510,Alto
10581,2016,Indianapolis,0.49,75012,5,0.48,274000,0.035,30535,Demorest
10582,2018,Cincinnati,0.4753,69305,5,0.8,110400,0.0463,30507,Gainesville
10583,2018,Cincinnati,0.4753,69305,5,0.8,110400,0.0463,30501,Gainesville
10584,2018,Cincinnati,0.4753,69305,5,0.8,110400,0.0463,30504,Gainesville
10585,2018,Cincinnati,0.4753,69305,5,0.8,110400,0.0463,30506,Gainesville
10586,2018,Cincinnati,0.4753,69305,5,0.8,110400,0.0463,30527,Clermont
10587,2018,Cincinnati,0.4753,69305,5,0.8,110400,0.0463,30542,Flowery Branch
10588,2018,Cincinnati,0.4753,69305,5,0.8,110400,0.0463,30543,Gillsville
10589,2018,Cincinnati,0.4753,69305,5,0.8,110400,0.0463,30554,Lula
10590,2018,Cincinnati,0.4753,69305,5,0.8,110400,0.0463,30564,Murrayville
10591,2018,Cincinnati,0.4753,69305,5,0.8,110400,0.0463,30566,Oakwood
10592,2016,Cincinnati,0.5083,79074,4,0.69,157000,0.035,30507,Gainesville
10593,2016,Cincinnati,0.5083,79074,4,0.69,157000,0.035,30501,Gainesville
10594,2016,Cincinnati,0.5083,79074,4,0.69,157000,0.035,30504,Gainesville
10595,2016,Cincinnati,0.5083,79074,4,0.69,157000,0.035,30506,Gainesville
10596,2016,Cincinnati,0.5083,79074,4,0.69,157000,0.035,30527,Clermont
10597,2016,Cincinnati,0.5083,79074,4,0.69,157000,0.035,30542,Flowery Branch
10598,2016,Cincinnati,0.5083,79074,4,0.69,157000,0.035,30543,Gillsville
10599,2016,Cincinnati,0.5083,79074,4,0.69,157000,0.035,30554,Lula
10600,2016,Cincinnati,0.5083,79074,4,0.69,157000,0.035,30564,Murrayville
10601,2016,Cincinnati,0.5083,79074,4,0.69,157000,0.035,30566,Oakwood
10602,2016,Cincinnati,0.9644,44686,5,0.8,63120,0.0363,30516,Bowersville
10603,2016,Cincinnati,0.9644,44686,5,0.8,63120,0.0363,30643,Hartwell
10604,2018,Cincinnati,0.9254,88067,5,0.8,229600,0.0475,30516,Bowersville
10605,2018,Cincinnati,0.9254,88067,5,0.8,229600,0.0475,30643,Hartwell
10606,2018,Dallas,1.1257,47604,5,0.95,184775,0.0488,30516,Bowersville
10607,2018,Dallas,1.1257,47604,5,0.95,184775,0.0488,30643,Hartwell
10608,2018,Indianapolis,0.46,295865,5,0.9,242550,0.05,30248,Locust Grove
10609,2018,Indianapolis,0.46,295865,5,0.9,242550,0.05,30253,Mcdonough
10610,2018,Indianapolis,0.46,295865,5,0.9,242550,0.05,30252,Mcdonough
10611,2018,Indianapolis,0.46,295865,5,0.9,242550,0.05,30228,Hampton
10612,2016,Indianapolis,0.49,219223,5,0.8,135400,0.04,30248,Locust Grove
10613,2016,Indianapolis,0.49,219223,5,0.8,135400,0.04,30253,Mcdonough
10614,2016,Indianapolis,0.49,219223,5,0.8,135400,0.04,30252,Mcdonough
10615,2016,Indianapolis,0.49,219223,5,0.8,135400,0.04,30228,Hampton
10616,2018,Dallas,1.3412,80592,3,0.9,256500,0.0488,31798,Wray
10617,2018,Dallas,1.3412,80592,3,0.9,256500,0.0488,31774,Ocilla
10618,2018,Indianapolis,1.12,94390,5,0.77,165000,0.0475,31798,Wray
10619,2018,Indianapolis,1.12,94390,5,0.77,165000,0.0475,31774,Ocilla
10620,2018,Indianapolis,1.31,119220,5,0.55,271000,0.05,31798,Wray
10621,2018,Indianapolis,1.31,119220,5,0.55,271000,0.05,31774,Ocilla
10622,2018,Dallas,1.3762,130548,3,0.78,290000,0.0425,31798,Wray
10623,2018,Dallas,1.3762,130548,3,0.78,290000,0.0425,31774,Ocilla
10624,2018,Indianapolis,0.88,39612,4,0.77,99900,0.04,31798,Wray
10625,2018,Indianapolis,0.88,39612,4,0.77,99900,0.04,31774,Ocilla
10626,2018,Dallas,0.8763,51996,5,0.8,217600,0.0488,31798,Wray
10627,2018,Dallas,0.8763,51996,5,0.8,217600,0.0488,31774,Ocilla
10628,2018,Dallas,1.1295,90636,4,0.95,322905,0.0475,31798,Wray
10629,2018,Dallas,1.1295,90636,4,0.95,322905,0.0475,31774,Ocilla
10630,2018,Indianapolis,1.25,159034,4,0.75,440000,0.0375,31798,Wray
10631,2018,Indianapolis,1.25,159034,4,0.75,440000,0.0375,31774,Ocilla
10632,2018,Dallas,0.8718,82548,4,0.9,193500,0.05,31798,Wray
10633,2018,Dallas,0.8718,82548,4,0.9,193500,0.05,31774,Ocilla
10634,2018,Dallas,1.743,102036,5,0.95,342000,0.045,31798,Wray
10635,2018,Dallas,1.743,102036,5,0.95,342000,0.045,31774,Ocilla
10636,2016,Chicago,1.4119,74280,3,0.95,237500,0.04,31798,Wray
10637,2016,Chicago,1.4119,74280,3,0.95,237500,0.04,31774,Ocilla
10638,2016,Chicago,0.9437,39312,5,0.59,96000,0.03,31798,Wray
10639,2016,Chicago,0.9437,39312,5,0.59,96000,0.03,31774,Ocilla
10640,2016,Chicago,1.0558,120828,3,0.8,228000,0.0413,31798,Wray
10641,2016,Chicago,1.0558,120828,3,0.8,228000,0.0413,31774,Ocilla
10642,2016,Chicago,1.1756,92664,5,0.95,270655,0.035,31798,Wray
10643,2016,Chicago,1.1756,92664,5,0.95,270655,0.035,31774,Ocilla
10644,2016,Chicago,1.8263,171864,5,0.78,275000,0.035,31798,Wray
