ZipCode,City,State,Metro,CountyName,2016_AvgHomeValue
95650,Loomis,CA,Sacramento--Roseville--Arden-Arcade,Placer County,451779
06752,Bridgewater,CT,Torrington,Litchfield County,451749
22306,Hybla Valley,VA,Washington-Arlington-Alexandria,Fairfax County,451689
10705,Yonkers,NY,New York-Newark-Jersey City,Westchester County,451617
85331,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,451557
19073,Newtown Township,PA,Philadelphia-Camden-Wilmington,Delaware County,451412
21401,Annapolis,MD,Baltimore-Columbia-Towson,Anne Arundel County,451237
11420,New York,NY,New York-Newark-Jersey City,Queens County,451226
01460,Littleton,MA,Boston-Cambridge-Newton,Middlesex County,451175
20839,Beallsville,MD,Washington-Arlington-Alexandria,Montgomery County,451128
90247,Gardena,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,451127
07432,Midland Park,NJ,New York-Newark-Jersey City,Bergen County,450850
02184,Braintree,MA,Boston-Cambridge-Newton,Norfolk County,450750
95524,Bayside,CA,Eureka-Arcata-Fortuna,Humboldt County,450620
07463,Waldwick,NJ,New York-Newark-Jersey City,Bergen County,450546
98051,Ravensdale,WA,Seattle-Tacoma-Bellevue,King County,450439
11565,Malverne,NY,New York-Newark-Jersey City,Nassau County,450332
20181,Nokesville,VA,Washington-Arlington-Alexandria,Prince William County,449980
02356,Easton,MA,Providence-Warwick,Bristol County,449959
01245,Monterey,MA,Pittsfield,Berkshire County,449914
85054,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,449810
90303,Inglewood,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,449720
06336,Gilman,CT,Norwich-New London,New London County,449305
10304,New York,NY,New York-Newark-Jersey City,Richmond County,449279
98332,Gig Harbor,WA,Seattle-Tacoma-Bellevue,Pierce County,448942
11758,Massapequa,NY,New York-Newark-Jersey City,Nassau County,448895
91710,Chino,CA,Riverside-San Bernardino-Ontario,San Bernardino County,448771
92882,Corona,CA,Riverside-San Bernardino-Ontario,Riverside County,448473
01450,Groton,MA,Boston-Cambridge-Newton,Middlesex County,448416
04105,Falmouth,ME,Portland-South Portland,Cumberland County,447962
95456,Mendocino,CA,Ukiah,Mendocino County,447470
32789,Winter Park,FL,Orlando-Kissimmee-Sanford,Orange County,447466
92883,Corona,CA,Riverside-San Bernardino-Ontario,Riverside County,447389
07436,Oakland,NJ,New York-Newark-Jersey City,Bergen County,447091
21032,Crownsville,MD,Baltimore-Columbia-Towson,Anne Arundel County,446845
81601,Glenwood Springs,CO,Glenwood Springs,Garfield County,446792
93446,Paso Robles,CA,San Luis Obispo-Paso Robles-Arroyo Grande,San Luis Obispo County,446613
06796,Cornwall,CT,Torrington,Litchfield County,446112
10305,New York,NY,New York-Newark-Jersey City,Richmond County,445919
01833,Georgetown,MA,Boston-Cambridge-Newton,Essex County,445833
30030,Decatur,GA,Atlanta-Sandy Springs-Roswell,Dekalb County,445797
37220,Nashville,TN,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,445734
33785,Indian Rocks Beach,FL,Tampa-St. Petersburg-Clearwater,Pinellas County,445619
84061,Peoa,UT,Summit Park,Summit County,445515
11572,Oceanside,NY,New York-Newark-Jersey City,Nassau County,445499
20880,Washington Grove,MD,Washington-Arlington-Alexandria,Montgomery County,445482
80433,Conifer,CO,Denver-Aurora-Lakewood,Jefferson County,445407
24176,Union Hall,VA,Roanoke,Franklin County,445389
11793,Wantagh,NY,New York-Newark-Jersey City,Nassau County,445251
95688,Vacaville,CA,Vallejo-Fairfield,Solano County,445194
22749,Woodville,VA,Washington-Arlington-Alexandria,Rappahannock County,445154
08551,East Amwell Township,NJ,New York-Newark-Jersey City,Hunterdon County,445123
95385,Vernalis,CA,Modesto,Stanislaus County,445008
11790,Stony Brook,NY,New York-Newark-Jersey City,Suffolk County,445004
80540,Lyons,CO,Boulder,Boulder County,444962
85254,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,444736
21204,Towson,MD,Baltimore-Columbia-Towson,Baltimore County,444490
05055,Norwich,VT,Claremont-Lebanon,Windsor County,444468
92262,Palm Springs,CA,Riverside-San Bernardino-Ontario,Riverside County,444392
10598,Town Of Yorktown,NY,New York-Newark-Jersey City,Westchester County,444362
21054,Gambrills,MD,Baltimore-Columbia-Towson,Anne Arundel County,444186
91351,Santa Clarita,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,444180
10601,White Plains,NY,New York-Newark-Jersey City,Westchester County,444152
95722,Meadow Vista,CA,Sacramento--Roseville--Arden-Arcade,Placer County,443905
02631,Brewster,MA,Barnstable Town,Barnstable County,443602
55401,Minneapolis,MN,Minneapolis-St. Paul-Bloomington,Hennepin County,443545
98335,Gig Harbor,WA,Seattle-Tacoma-Bellevue,Pierce County,443476
91732,El Monte,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,443367
08867,Franklin Township,NJ,New York-Newark-Jersey City,Hunterdon County,443251
92021,El Cajon,CA,San Diego-Carlsbad,San Diego County,443114
21140,Riva,MD,Baltimore-Columbia-Towson,Anne Arundel County,443065
96705,Hanapepe,HI,Kapaa,Kauai County,442992
91722,Covina,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,442969
02062,Norwood,MA,Boston-Cambridge-Newton,Norfolk County,442948
96716,Hanapepe,HI,Kapaa,Kauai County,442617
98108,Seattle,WA,Seattle-Tacoma-Bellevue,King County,442585
80224,Denver,CO,Denver-Aurora-Lakewood,Denver County,442569
11762,Massapequa Park,NY,New York-Newark-Jersey City,Nassau County,442561
06785,Kent,CT,Torrington,Litchfield County,442460
11236,New York,NY,New York-Newark-Jersey City,Kings County,442441
33449,Wellington,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,442414
02152,Winthrop,MA,Boston-Cambridge-Newton,Suffolk County,442374
80130,Highlands Ranch,CO,Denver-Aurora-Lakewood,Douglas County,442366
55410,Minneapolis,MN,Minneapolis-St. Paul-Bloomington,Hennepin County,442311
19342,Glen Mills,PA,Philadelphia-Camden-Wilmington,Delaware County,442309
94601,Oakland,CA,San Francisco-Oakland-Hayward,Alameda County,442181
28204,Charlotte,NC,Charlotte-Concord-Gastonia,Mecklenburg County,442142
08801,Clinton Township,NJ,New York-Newark-Jersey City,Hunterdon County,442023
80134,Parker,CO,Denver-Aurora-Lakewood,Douglas County,442019
07054,Parsippany-Troy Hills Township,NJ,New York-Newark-Jersey City,Morris County,441981
01262,Stockbridge,MA,Pittsfield,Berkshire County,441414
92373,Redlands,CA,Riverside-San Bernardino-Ontario,San Bernardino County,441193
07470,Wayne,NJ,New York-Newark-Jersey City,Passaic County,441088
97009,Boring,OR,Portland-Vancouver-Hillsboro,Clackamas County,440931
92058,Oceanside,CA,San Diego-Carlsbad,San Diego County,440869
78737,Austin,TX,Austin-Round Rock,Travis County,440841
10901,Ramapo,NY,New York-Newark-Jersey City,Rockland County,440666
22150,Springfield,VA,Washington-Arlington-Alexandria,Fairfax County,440314
10523,Elmsford,NY,New York-Newark-Jersey City,Westchester County,440314
59715,Bozeman,MT,Bozeman,Gallatin County,440202
07023,Fanwood,NJ,New York-Newark-Jersey City,Union County,440178
94805,Richmond,CA,San Francisco-Oakland-Hayward,Contra Costa County,440146
83833,Harrison,ID,Coeur d'Alene,Kootenai County,439993
18929,Warwick Township,PA,Philadelphia-Camden-Wilmington,Bucks County,439724
11429,New York,NY,New York-Newark-Jersey City,Queens County,439706
60602,Chicago,IL,Chicago-Naperville-Elgin,Cook County,439658
11783,Seaford,NY,New York-Newark-Jersey City,Nassau County,439604
95459,Manchester,CA,Ukiah,Mendocino County,439518
29926,Hilton Head Island,SC,Hilton Head Island-Bluffton-Beaufort,Beaufort County,439466
07853,Long Valley,NJ,New York-Newark-Jersey City,Morris County,439294
81653,Slater,CO,Steamboat Springs,Routt County,439225
01746,Holliston,MA,Boston-Cambridge-Newton,Middlesex County,439050
96796,Waimea,HI,Kapaa,Kauai County,438983
80112,Centennial,CO,Denver-Aurora-Lakewood,Arapahoe County,438954
97004,Beavercreek,OR,Portland-Vancouver-Hillsboro,Clackamas County,438898
10310,New York,NY,New York-Newark-Jersey City,Richmond County,438545
21057,Glen Arm,MD,Baltimore-Columbia-Towson,Baltimore County,438275
07764,West Long Branch,NJ,New York-Newark-Jersey City,Monmouth County,438265
33304,Fort Lauderdale,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,438212
